Orthogroup	Mmicro	Mlepra
OG0000492	AMC57963.1	CAC31964.1
OG0000493	AMC57964.1	CAC31963.1
OG0000494	AMC57967.1	CAC31960.1
OG0000495	AMC57968.1	CAC31959.1
OG0000496	AMC57970.1	CAC31958.1
OG0000497	AMC57973.1	CAC31956.1
OG0000498	AMC57978.1	CAC31952.1
OG0000499	AMC57979.1	CAC31951.1
OG0000500	AMC57982.1	CAC31949.1
OG0000501	AMC57984.1	CAC31947.1
OG0000502	AMC57985.1	CAC31946.1
OG0000503	AMC57988.1	CAC31943.1
OG0000504	AMC57989.1	CAC31942.1
OG0000505	AMC57990.1	CAC31941.1
OG0000506	AMC57991.1	CAC31940.1
OG0000507	AMC57996.1	CAC31938.1
OG0000508	AMC57997.1	CAC31937.1
OG0000509	AMC58000.1	CAC31935.1
OG0000510	AMC58013.1	CAC31930.1
OG0000511	AMC58014.1	CAC31929.1
OG0000512	AMC58015.1	CAC31928.1
OG0000513	AMC58016.1	CAC31927.1
OG0000514	AMC58017.1	CAC31926.1
OG0000515	AMC58018.1	CAC31925.1
OG0000516	AMC58020.1	CAC31923.1
OG0000517	AMC58024.1	CAC31922.1
OG0000518	AMC58035.1	CAC31213.1
OG0000519	AMC58037.1	CAC31215.1
OG0000520	AMC58038.1	CAC31216.1
OG0000521	AMC58039.1	CAC31217.1
OG0000523	AMC58041.1	CAC31219.1
OG0000524	AMC58046.1	CAC31784.1
OG0000525	AMC58047.1	CAC31785.1
OG0000526	AMC58048.1	CAC31786.1
OG0000527	AMC58049.1	CAC31787.1
OG0000528	AMC58052.1	CAC31790.1
OG0000529	AMC58054.1	CAC31792.1
OG0000530	AMC58056.1	CAC31794.1
OG0000531	AMC58134.1	CAC30867.1
OG0000532	AMC58135.1	CAC30866.1
OG0000533	AMC58136.1	CAC30865.1
OG0000534	AMC58137.1	CAC30864.1
OG0000535	AMC58138.1	CAC30863.1
OG0000536	AMC58139.1	CAC30862.1
OG0000537	AMC58140.1	CAC30861.1
OG0000538	AMC58141.1	CAC30860.1
OG0000539	AMC58142.1	CAC30859.1
OG0000540	AMC58143.1	CAC30858.1
OG0000541	AMC58144.1	CAC30857.1
OG0000542	AMC58148.1	CAC30853.1
OG0000543	AMC58149.1	CAC30852.1
OG0000544	AMC58153.1	CAC30850.1
OG0000545	AMC58155.1	CAC30849.1
OG0000546	AMC58158.1	CAC30846.1
OG0000547	AMC58171.1	CAC30845.1
OG0000548	AMC58172.1	CAC30844.1
OG0000549	AMC58175.1	CAC30843.1
OG0000550	AMC58188.1	CAC30834.1
OG0000551	AMC58189.1	CAC30833.1
OG0000552	AMC58190.1	CAC30832.1
OG0000553	AMC58207.1	CAC30818.1
OG0000554	AMC58208.1	CAC30817.1
OG0000555	AMC58209.1	CAC30816.1
OG0000556	AMC58210.1	CAC30815.1
OG0000557	AMC58211.1	CAC30814.1
OG0000558	AMC58212.1	CAC30813.1
OG0000559	AMC58213.1	CAC30812.1
OG0000560	AMC58214.1	CAC30811.1
OG0000561	AMC58215.1	CAC30810.1
OG0000562	AMC58216.1	CAC30809.1
OG0000563	AMC58217.1	CAC30808.1
OG0000565	AMC58221.1	CAC30803.1
OG0000566	AMC58222.1	CAC30802.1
OG0000567	AMC58223.1	CAC30801.1
OG0000568	AMC58224.1	CAC30800.1
OG0000569	AMC58225.1	CAC30799.1
OG0000570	AMC58226.1	CAC30798.1
OG0000571	AMC58227.1	CAC30797.1
OG0000572	AMC58228.1	CAC30796.1
OG0000573	AMC58229.1	CAC30795.1
OG0000574	AMC58230.1	CAC30794.1
OG0000575	AMC58238.1	CAC30789.1
OG0000576	AMC58240.1	CAC30787.1
OG0000577	AMC58241.1	CAC30786.1
OG0000578	AMC58242.1	CAC30785.1
OG0000580	AMC58275.1	CAC31193.1
OG0000585	AMC58288.1	CAC31191.1
OG0000586	AMC58294.1	CAC31186.1
OG0000587	AMC58297.1	CAC31183.1
OG0000588	AMC58298.1	CAC31182.1
OG0000589	AMC58307.1	CAC31175.1
OG0000590	AMC58308.1	CAC31174.1
OG0000591	AMC58318.1	CAC31168.1
OG0000592	AMC58321.1	CAC31166.1
OG0000593	AMC58324.1	CAC31165.1
OG0000594	AMC58326.1	CAC31162.1
OG0000595	AMC58328.1	CAC31161.1
OG0000596	AMC58329.1	CAC31160.1
OG0000597	AMC58330.1	CAC31159.1
OG0000598	AMC58331.1	CAC31158.1
OG0000599	AMC58335.1	CAC31155.1
OG0000600	AMC58339.1	CAC31151.1
OG0000601	AMC58340.1	CAC31150.1
OG0000602	AMC58342.1	CAC31148.1
OG0000603	AMC58346.1	CAC31141.1
OG0000607	AMC58376.1	CAC31122.1
OG0000609	AMC58384.1	CAC31112.1
OG0000610	AMC58385.1	CAC31111.1
OG0000611	AMC58386.1	CAC31110.1
OG0000612	AMC58390.1	CAC31106.1
OG0000613	AMC58394.1	CAC31102.1
OG0000614	AMC58399.1	CAC31099.1
OG0000615	AMC58400.1	CAC31098.1
OG0000616	AMC58402.1	CAC31097.1
OG0000617	AMC58404.1	CAC31096.1
OG0000618	AMC58408.1	CAC31092.1
OG0000619	AMC58409.1	CAC31091.1
OG0000620	AMC58411.1	CAC31089.1
OG0000621	AMC58425.1	CAC31085.1
OG0000622	AMC58432.1	CAC31078.1
OG0000623	AMC58434.1	CAC31073.1
OG0000624	AMC58440.1	CAC31068.1
OG0000625	AMC58442.1	CAC31066.1
OG0000626	AMC58458.1	CAC31053.1
OG0000630	AMC58480.1	CAC29658.1
OG0000631	AMC58481.1	CAC29659.1
OG0000632	AMC58482.1	CAC29661.1
OG0000633	AMC58483.1	CAC29662.1
OG0000634	AMC58484.1	CAC29663.1
OG0000635	AMC58485.1	CAC29664.1
OG0000636	AMC58487.1	CAC29666.1
OG0000637	AMC58488.1	CAC29667.1
OG0000638	AMC58489.1	CAC29668.1
OG0000639	AMC58490.1	CAC29669.1
OG0000640	AMC58503.1	CAC29677.1
OG0000641	AMC58507.1	CAC30952.1
OG0000642	AMC58519.1	CAC29681.1
OG0000643	AMC58521.1	CAC29682.1
OG0000644	AMC58522.1	CAC29683.1
OG0000645	AMC58523.1	CAC29684.1
OG0000646	AMC58524.1	CAC29685.1
OG0000647	AMC58525.1	CAC29686.1
OG0000649	AMC58534.1	CAC29688.1
OG0000650	AMC58535.1	CAC29689.1
OG0000651	AMC58536.1	CAC29690.1
OG0000652	AMC58538.1	CAC29691.1
OG0000653	AMC58539.1	CAC29692.1
OG0000654	AMC58540.1	CAC29693.1
OG0000655	AMC58543.1	CAC29695.1
OG0000656	AMC58547.1	CAC29700.1
OG0000657	AMC58549.1	CAC29701.1
OG0000659	AMC58554.1	CAC29746.1
OG0000660	AMC58555.1	CAC29747.1
OG0000661	AMC58556.1	CAC29748.1
