Orthogroup	Mbovis	Mavium
OG0000181	ALV10982.1	AAS03938.1, AAS05811.1, AAS06141.1, AAS05876.1, AAS06742.1
OG0000182	ALV09300.1	AAS05039.1
OG0000183	ALV09322.1	AAS02377.1
OG0000186	ALV12779.1	AAS06226.1, AAS06072.1
OG0000187	ALV09400.1	AAS06089.1, AAS02582.1, AAS05670.1
OG0000188	ALV09426.1	AAS06148.1
OG0000189	ALV09442.1	AAS02348.1, AAS06111.1, AAS06167.1
OG0000190	ALV09451.1	AAS06296.1, AAS06182.1
OG0000191	ALV09455.1	AAS06185.1, AAS02472.1, AAS06211.1
OG0000192	ALV09470.1	AAS03802.1, AAS04671.1, AAS06199.1
OG0000193	ALV09471.1	AAS06201.1, AAS04726.1, AAS04722.1
OG0000194	ALV09530.1	AAS06268.1, AAS04579.1, AAS05743.1
OG0000196	ALV09567.1	AAS04067.1, AAS06050.1, AAS06347.1
OG0000197	ALV09601.1	AAS06390.1, AAS05667.1
OG0000198	ALV09603.1	AAS04012.1, AAS06392.1
OG0000199	ALV09678.1	AAS02418.1, AAS02417.1, AAS06472.1
OG0000200	ALV12819.1	AAS06532.1, AAS05822.1
OG0000201	ALV09734.1	AAS06538.1
OG0000202	ALV09740.1	AAS05284.1, AAS06543.1
OG0000203	ALV09748.1	AAS06554.1
OG0000204	ALV09776.1	AAS06589.1, AAS04081.1
OG0000205	ALV09790.1	AAS03982.1, AAS06605.1
OG0000206	ALV09827.1, ALV11953.1	AAS03418.1
OG0000208	ALV09878.1	AAS03641.1, AAS02782.1, AAS06678.1
OG0000209	ALV09908.1	AAS06693.1, AAS02681.1
OG0000210	ALV09950.1	AAS06738.1
OG0000211	ALV12845.1	AAS02446.1, AAS02669.1, AAS06744.1
OG0000212	ALV09974.1	AAS02349.1, AAS02467.1, AAS06764.1
OG0000213	ALV09983.1	AAS05940.1, AAS03539.1, AAS02909.1
OG0000214	ALV09986.1	AAS02912.1, AAS06052.1, AAS04683.1
OG0000215	ALV10007.1	AAS05693.1, AAS02936.1, AAS02935.1
OG0000216	ALV10040.1	AAS02972.1, AAS02449.1
OG0000217	ALV10068.1	AAS03106.1, AAS04031.1
OG0000218	ALV10069.1	AAS03107.1, AAS04032.1
OG0000219	ALV10088.1	AAS06460.1, AAS03136.1
OG0000220	ALV10093.1	AAS03141.1, AAS03204.1
OG0000221	ALV10108.1	AAS02470.1, AAS03150.1
OG0000222	ALV12872.1	AAS02969.1, AAS03190.1
OG0000223	ALV10133.1	AAS02970.1, AAS03191.1
OG0000224	ALV10169.1	AAS03227.1, AAS03040.1, AAS05744.1
OG0000225	ALV10182.1	AAS06757.1, AAS02368.1, AAS02891.1
OG0000226	ALV10215.1	AAS03307.1, AAS05681.1
OG0000230	ALV10267.1	AAS03343.1, AAS05601.1
OG0000231	ALV10270.1	AAS03346.1, AAS05310.1
OG0000232	ALV10336.1	AAS04577.1, AAS04950.1
OG0000233	ALV10350.1, ALV12974.1	AAS04934.1
OG0000234	ALV10355.1	AAS05787.1, AAS04930.1
OG0000235	ALV10359.1	AAS04182.1, AAS03460.1, AAS04926.1
OG0000236	ALV10377.1	AAS05775.1, AAS02450.1, AAS04896.1
OG0000237	ALV10390.1	AAS03271.1, AAS03153.1, AAS04882.1
OG0000238	ALV09806.1	AAS03110.1
OG0000239	ALV10458.1	AAS04786.1, AAS03303.1
OG0000240	ALV10465.1	AAS06321.1, AAS04780.1
OG0000241	ALV12929.1	AAS02690.1
OG0000242	ALV10512.1	AAS04730.1, AAS06284.1, AAS06285.1
OG0000243	ALV10526.1	AAS03068.1, AAS04427.1, AAS03085.1
OG0000245	ALV10628.1	AAS05669.1, AAS03514.1
OG0000246	ALV10644.1	AAS05731.1, AAS03531.1
OG0000247	ALV12948.1	AAS03004.1, AAS03544.1
OG0000248	ALV13211.1	AAS02750.1
OG0000249	ALV11913.1	AAS03550.1
OG0000250	ALV10700.1	AAS03588.1, AAS06560.1
OG0000251	ALV10711.1	AAS03428.1, AAS03607.1
OG0000252	ALV10729.1	AAS03626.1, AAS06455.1
OG0000253	ALV12963.1	AAS03655.1, AAS06355.1
OG0000254	ALV10749.1	AAS03667.1, AAS06835.1, AAS03066.1
OG0000255	ALV10755.1	AAS05705.1, AAS03883.1, AAS03673.1
OG0000256	ALV12970.1	AAS04465.1, AAS03725.1
OG0000257	ALV10813.1	AAS03727.1, AAS03269.1
OG0000258	ALV10912.1	AAS03850.1, AAS05548.1
OG0000259	ALV10967.1	AAS03913.1
OG0000259	ALV10968.1	AAS04398.1
OG0000260	ALV10972.1	AAS03134.1, AAS03923.1
OG0000261	ALV12990.1	AAS03932.1, AAS03086.1
OG0000262	ALV12991.1	AAS03943.1, AAS03740.1, AAS06384.1
OG0000263	ALV10991.1	AAS03947.1, AAS04638.1
OG0000264	ALV12996.1	AAS03014.1, AAS02762.1, AAS03962.1
OG0000265	ALV13006.1	AAS06649.1, AAS04082.1
